namespace,key,en,original_zh,current_zh,reason,reason_en
base,buildings.picker.sortTier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,buildings.slot.unlockStar,Unlock star slot,解锁星星槽位,星币槽位解锁,消除歧义（解锁/星币槽位 vs 解锁星币/槽位）,Remove ambiguity
base,buildings.grid.dragModeCopyTitle,Copy mode: drag clones the source onto the target,复制模式：拖拽将源槽位克隆到目标槽位,复制模式：拖拽复制到目标槽位,翻译优化,Translation improvement
base,buildings.grid.undoExpand,Undo expand,撤销展开,收起,展开的反操作，中文习惯用收起而非撤销展开,Expand opposite; Chinese uses 收起 not 撤销展开
base,buildings.legend.newBuild,New build,新建,新建筑,New build是名词短语非动词，新建筑更准确,Noun phrase not verb; 新建筑 is more accurate
base,buildings.legend.dragModeToggle,Drag mode toggle (top of grid): Copy = clone source onto target; Move = swap source and target,拖拽模式切换（网格顶部）：复制 = 将源克隆到目标；移动 = 交换源与目标,拖拽模式切换（网格顶部）：复制 = 复制到目标槽位；移动 = 交换两个槽位,达优先：说清操作结果而非逐字翻译,Prioritize clarity: describe operation result not literal translation
base,buildings.workforce.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,cashHistory.summary.net,Net,净,净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
base,cashHistory.columns.avgBuy,Avg buy,平均买入价,买入均价,金融术语，均价更简洁自然,Financial term; 均价 is standard
base,cashHistory.columns.avgSell,Avg sell,平均卖出价,卖出均价,金融术语，均价更简洁自然,Financial term; 均价 is standard
base,cashHistory.columns.net,Net,净,净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
base,contracts.columns.netUnit,Net / unit,净 / 单位,单位净额,净→净额，/unit→单位净额（与单价风格一致）,Net→净额; /unit→单位净额 matching 单价 style
base,contracts.footer.feeSavings,Fee perk daily savings:,费用Perk每日节省：,Fee专长每日节省：,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,controls.planetHeader.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,controls.dashboard.deltaWithContracts,Delta / With contracts,差值 / 含合同,差值/含合同,斜杠空格移除,Slash space removal
base,controls.consumables.grid.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,controls.consumables.inputsPerDay,Inputs / day,输入 / 天,每日输入,翻译优化,Translation improvement
base,controls.consumables.outputsPerDay,Outputs / day,产出 / 天,每日产出,翻译优化,Translation improvement
base,controls.consumables.prod.techPerksMultiplier,Tech + Perks multiplier,科技 + Perk乘数,科技 + 专长乘数,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,controls.consumables.prod.specialPerk,Special Perk,特殊Perk,特殊专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,controls.issues.untilWarehouseFull,until warehouse is full.,后仓库将装满。,直到仓库装满。,until误翻，后≠until,until mistranslated
base,controls.dailyTotals.field.netVsGross,Net vs gross,净/总,净额/总额,净→净额，总→总额,Net→净额
base,controls.dailyTotals.mode.net,Net,净,净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
base,controls.dailyTotals.mode.gross,Gross,总,总额,独立标签总→总额，与净额对称,Gross standalone→总额 matching 净额
base,controls.dailyTotals.col.net,Net,净,净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
base,footer.includedBases.tooltipOverridden,A base you're viewing has an inclusion pick that's ignored while focused. Open the menu for details.,正在查看的某个基地的纳入选择在聚焦期间被忽略。打开菜单查看详情。,正在查看的某个基地的包含选择在聚焦期间被忽略。打开菜单查看详情。,翻译优化,Translation improvement
base,footer.save.asNew,Save as new,另存为新的,另存为新快照,翻译优化,Translation improvement
base,insights.sections.adminCenterSavings,Admin Center savings,Admin Center节省,行政中心节省,翻译优化,Translation improvement
base,insights.sections.overheadImpact,Daily overhead impact,每日Overhead影响,每日开销影响,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.adminCenter.empty.noData,Select bases with workforce burden to estimate Admin Center savings.,选择有劳动力Burden的基地以估算Admin Center节省。,选择有劳动力负担的基地以估算行政中心节省。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
base,insights.adminCenter.empty.noBenefit,No expansion overhead to reduce. Admin Center upgrades wouldn't help right now.,没有可减少的扩建Overhead。当前升级Admin Center没有帮助。,没有可减少的扩建开销。当前升级行政中心没有帮助。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.adminCenter.columns.overheadReduced,Overhead reduced,Overhead减少量,开销减少量,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.adminCenter.columns.netOverhead,Net overhead,净Overhead,净开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.adminCenter.columns.consumablesPerDay,Consumables / day,消耗品 / 天,每日消耗品,翻译优化,Translation improvement
base,insights.adminCenter.messages.noData,No included bases with workforce burden.,没有带劳动力Burden的已纳入基地。,已包含的基地均无劳动力负担。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
base,insights.adminCenter.messages.noBenefit,No expansion overhead to reduce right now.,当前没有可减少的扩建Overhead。,当前没有可减少的扩建开销。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.buildingProfit.columns.profitPerLevel,Profit / level,利润 / 等级,每级利润,翻译优化,Translation improvement
base,insights.buildingProfit.columns.totalPerDay,Total / day,总计 / 天,每日总计,翻译优化,Translation improvement
base,insights.overheadImpact.empty,Select bases to see how overhead is distributed across them.,选择基地以查看Overhead在基地之间的分配。,选择基地以查看开销在基地之间的分配。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.overheadImpact.columns.baseCostTip,"Baseline consumable cost (no perks, no overhead applied)",基准消耗品成本（未应用Perk，未应用Overhead）,基准消耗品成本（未应用专长，未应用开销）,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,insights.overheadImpact.columns.overheadTip,Net adjustment from the consumption multiplier (perks × overhead). Positive = extra cost; negative = savings.,来自消耗乘数（Perk × Overhead）的净调整。正值 = 额外成本；负值 = 节省。,来自消耗乘数（专长 × 开销）的净调整。正值 = 额外成本；负值 = 节省。,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,insights.overheadImpact.columns.goiTip,Global overhead impact: extra cost this base imposes on every other included base via the company-wide overhead penalty,全局Overhead影响：该基地通过公司范围的Overhead惩罚，给其他每个已纳入基地带来的额外成本,全局开销影响：该基地通过公司范围的开销惩罚，给其他每个已包含基地带来的额外成本,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.overheadImpact.columns.profitGoi,Profit / GOI,利润 / GOI,利润/GOI,斜杠空格移除,Slash space removal
base,insights.overheadImpact.columns.profitGoiTip,Net profit ÷ Global overhead impact,净利润 ÷ 全局Overhead影响,净利润 ÷ 全局开销影响,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.overheadImpact.columns.impactIfExcludedTip,Company net change if this base were excluded: savings on others' overhead minus profit lost. Positive = excluding helps.,如果排除该基地，公司的净变化：其他基地Overhead的节省减去损失的利润。正值 = 排除更有利。,如果排除该基地，公司的净变化：其他基地开销的节省减去损失的利润。正值 = 排除更有利。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,insights.overheadImpact.columns.impactPerBurden,Impact / burden,影响 / Burden,影响/负担,Burden→负担,Burden→负担
base,insights.overheadImpact.columns.impactPerBurdenTip,Impact-if-excluded per unit of burden,每单位Burden的排除后影响,每单位负担的排除后影响,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
base,insights.recipeProfit.columns.runsPerDay,Runs / day,运行 / 天,每日运行,翻译优化,Translation improvement
base,insights.recipeProfit.columns.netPerDay,Net / day,净 / 天,每日净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
base,insights.researchRoi.columns.profitPerDay,Profit / day,利润 / 天,每日利润,翻译优化,Translation improvement
base,insights.researchRoi.columns.increasedProfitPerDay,Increased profit / day,增加的利润 / 天,每日增加利润,翻译优化,Translation improvement
base,insights.workforceProfit.columns.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,insights.workforceProfit.columns.profitPerDay,Profit / day,利润 / 天,每日利润,翻译优化,Translation improvement
base,insights.workforceProfit.columns.per100Workers,Profit / 100 workers,利润 / 100 人,利润/100人,100与人之间多余空格，中文不加空格,Unnecessary space between number 100 and Chinese 人
base,insights.workforceProfit.columns.per100WorkersTip,Profit per day per 100 workers in this tier,该Tier每100人的每日利润,该等阶每100人的每日利润,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,insights.workforceProfit.columns.per100Burden,Profit / 100 burden,利润 / 100 Burden,利润/100负担,Burden→负担,Burden→负担
base,insights.workforceProfit.columns.per100BurdenTip,"Profit per day per 100 burden units (worker count × tier burden multiplier: w=1, t=1.5, e=2.5, s=4)",每100单位Burden的每日利润（人数 × Tier的Burden乘数：w=1、t=1.5、e=2.5、s=4）,每100单位负担的每日利润（人数 × 等阶的负担乘数：w=1、t=1.5、e=2.5、s=4）,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,issues.columns.perDay,#/day,#/day,#/天,单位统一,Unit normalization
base,modals.newPlan.namePlaceholder,e.g. Tier-2 farming base,例如：Tier-2农业基地,例如：二等阶农业基地,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
base,overview.emptyState,No bases included. Use the Included Bases menu in the footer to add bases to the Overview.,未纳入任何基地。使用底部的已纳入基地菜单将基地添加到总览。,未包含任何基地。使用底部的已包含基地菜单将基地添加到总览。,翻译优化,Translation improvement
base,overview.controls.netVsGross,Net vs gross,净/总,净额/总额,净→净额，总→总额,Net→净额
base,overview.totalsMode.net,Net,净,净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
base,overview.totalsMode.gross,Gross,总,总额,独立标签总→总额，与净额对称,Gross standalone→总额 matching 净额
base,overview.perBaseTable.empty,No bases included.,未纳入任何基地。,未包含任何基地。,翻译优化,Translation improvement
base,overview.stats.deltaWithContracts,Delta / With contracts,差值 / 含合同,差值/含合同,斜杠空格移除,Slash space removal
base,page.baseTitle.fallback,Base Page v2,基地页面 v2,基地页面v2,多余空格修复：中文与拉丁文/数字之间不加空格,Spacing fix: no space between Chinese and Latin/digits
base,page.warnings.basePermits,Base permits:,基地许可：,基地许可证：,翻译优化,Translation improvement
base,preview.stats.feeSavings.title,Fee Negotiation savings,Fee Negotiation节省,Fee Negotiation 节省,中英混杂修正,Mixed CN-EN fix
base,preview.stats.goi,Global overhead impact / d,全局Overhead影响 / d,全局开销影响/天,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,preview.stats.goiDelta,Δ Global overhead / d,Δ全局Overhead / d,Δ全局开销/天,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,preview.warehouse.perkTooltip,Smart Stacking perk bonus,Smart Stacking Perk加成,Smart Stacking专长加成,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,preview.construction.copyTooltip.copy,Copy as chat text (e.g. 3x :CopperBar),复制为聊天文本（例如 3x :CopperBar）,复制为聊天文本（例如3x :CopperBar）,多余空格修复：中文与拉丁文/数字之间不加空格,Spacing fix: no space between Chinese and Latin/digits
base,scenario.sections.perks,Prestige Perks,Prestige Perk,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,scenario.sections.basePermits,Base Permits,基地许可,基地许可证,翻译优化,Translation improvement
base,scenario.summary.category.perks,Perks,Perk,专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,scenario.summary.category.basePermits,Base permits,基地许可,基地许可证,翻译优化,Translation improvement
base,scenario.overhead.math.excessBurden,Excess burden,超额Burden,超额负担,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
base,scenario.overhead.math.baseOverhead,Base overhead,基础Overhead,基础开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,scenario.overhead.math.overheadPenalty,Overhead penalty,Overhead惩罚,开销惩罚,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,scenario.overhead.adminCenter.expansionOverhead,-{{reduction}}%/{{max}}% expansion overhead,-{{reduction}}%/{{max}}%扩建Overhead,-{{reduction}}%/{{max}}%扩建开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,scenario.perks.exclusiveFallback,Exclusive Perk,专属Perk,互斥专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,scenario.permits.name,Additional unused base permits,额外未使用的基地许可,额外未使用的基地许可证,翻译优化,Translation improvement
base,scenario.permits.subtitle,Drives the {{perk}} per-permit production speed bonus.,决定{{perk}}的每份许可生产速度加成。,决定{{perk}}的每份许可证生产速度加成。,翻译优化,Translation improvement
base,scenario.workforce.burden,×{{value}} burden,×{{value}} Burden,×{{value}} 负担,Burden→负担,Burden→负担
base,warehouse.columns.produced,Prod/d,产出/d,每日产出,翻译优化,Translation improvement
base,warehouse.columns.consumed,Cons/d,消耗/d,每日消耗,翻译优化,Translation improvement
base,warehouse.columns.net,Net/d,净/d,每日净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
galaxy,intel.tooltip.scope.prestigePerks,Company (Prestige Perks),公司（Prestige Perks）,公司（声望专长）,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
galaxy,intel.production.columns.net,Net,净,净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
galaxy,intel.production.columns.valuePerDay,Value/day,价值/天,每日价值,翻译优化,Translation improvement
galaxy,landing.scopes.prestigePerks,Prestige Perks,Prestige Perks,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
galaxy,planetDetails.info.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
galaxy,table.column.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
galaxy,lens.option.planetTier,Planet Tier,行星Tier,行星等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
galaxy,search.placeholder,Planet or system…,行星或星系…,行星或星系…,翻译优化,Translation improvement
guild,page.projectBonus.capacity,{{value}} tons,{{value}} 吨,{{value}}吨,翻译优化,Translation improvement
guild,page.info.rank,Rank,排名,职级,公会角色上下文(领袖/管理员/成员)，应为职级非排名,Guild role context (Leader/Officer/Member)
guild,page.info.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,page.memberPlanets.memberTable.tierSub,tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
guild,page.memberPlanets.memberTable.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,page.memberPlanets.planetTable.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
guild,page.memberPlanets.planetTable.prestigeSub,prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,page.sections.prestigeTrend,Prestige Trend from Donations,捐赠带来的Prestige趋势,捐赠带来的声望趋势,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,donationTargets.guide.axisPrestigePer1k,Prestige / $1k,Prestige / $1k,声望/$1k,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,donationTargets.guide.columns.now,Now,当前,现在,翻译优化,Translation improvement
guild,donationTargets.guide.columns.prestigePer1k,Prestige/$1k,Prestige/$1k,声望/$1k,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,donationLeaderboard.projects.hq,HQ,HQ,总部,公会项目翻译,Guild project translated
guild,donationLeaderboard.projects.admin,Admin,Admin,行政,公会项目翻译,Guild project translated
guild,donationLeaderboard.projects.warehouse,Warehouse,Warehouse,仓库,公会项目翻译,Guild project translated
guild,donationLeaderboard.projects.arcade,Arcade,Arcade,娱乐中心,公会项目翻译,Guild project translated
guild,donationLeaderboard.columns.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,recentDonations.columns.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,adminRoi.title,Admin Center ROI,Admin Center ROI,行政中心ROI,翻译优化,Translation improvement
guild,adminRoi.coverage.overheadOnly,({{count}} overhead-only),（{{count}}名仅有Overhead数据）,（{{count}}名仅有开销数据）,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.mode.saturatedTitle,Counterfactual: model every member as fully expanding to use the new admin-center headroom. Shows the marginal overhead-tax savings the upgraded admin center provides on that expanded workforce (workforce-growth cost is excluded. That's the member's call vs. their production gain).,反事实假设：将每位成员都视为完全扩张以用满新的Admin Center余量。显示升级后的Admin Center在扩张后的劳动力上带来的边际Overhead税节省（不计入劳动力增长的成本，那需由成员自行权衡其生产收益）。,反事实假设：将每位成员都视为完全扩张以用满新的行政中心余量。显示升级后的行政中心在扩张后的劳动力上带来的边际开销税节省（不计入劳动力增长的成本，那需由成员自行权衡其生产收益）。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.mode.saturatedNote,Counterfactual: assumes every member expands to use the new admin-center headroom. Shows the marginal overhead-tax savings the upgraded admin center provides on that larger workforce. The cost of growing the workforce itself is excluded. That's the member's call vs. the production it unlocks.,反事实假设：假定每位成员都扩张以用满新的Admin Center余量。显示升级后的Admin Center在更大规模劳动力上带来的边际Overhead税节省。劳动力增长本身的成本不计入其中，那需由成员自行权衡其解锁的产能。,反事实假设：假定每位成员都扩张以用满新的行政中心余量。显示升级后的行政中心在更大规模劳动力上带来的边际开销税节省。劳动力增长本身的成本不计入其中，那需由成员自行权衡其解锁的产能。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.debug.penaltyPercent,Penalty %,惩罚 %,惩罚%,翻译优化,Translation improvement
guild,adminRoi.debug.currentNetPercent,Current net %,当前净 %,当前净额%,翻译优化,Translation improvement
guild,adminRoi.debug.headroomPercent,Headroom %,余量 %,余量%,翻译优化,Translation improvement
guild,adminRoi.debug.headroomTitle,Penalty room before paying overhead tax at the API admin level. Negative = already paying tax on the excess penalty.,在API的Admin Center等级下，开始缴纳Overhead税之前的惩罚余量。负值 = 已在为超出的惩罚缴税。,在API的行政中心等级下，开始缴纳开销税之前的惩罚余量。负值 = 已在为超出的惩罚缴税。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.debug.liveConsumablesPerDay,Live consumables / day,实时消耗品 / 天,每日实时消耗品,翻译优化,Translation improvement
guild,adminRoi.debug.savingsPlusOnePerDay,Savings @ +1 / day,节省 @ +1 / 天,节省 @ +1/天,斜杠空格移除,Slash space removal
guild,adminRoi.states.maxLevel,Admin Center is already at max level.,Admin Center已达到最高等级。,行政中心已达到最高等级。,翻译优化,Translation improvement
guild,adminRoi.states.noBuff,Admin Center has no per-level buff configured.,Admin Center未配置每级加成。,行政中心未配置每级加成。,翻译优化,Translation improvement
guild,adminRoi.table.savingsPerDay,Savings / day,节省 / 天,每日节省,翻译优化,Translation improvement
